Name,Fold,Family,Err
GT69-u|AAY89392|C.gattiiVGIR265_Fungi,u,GT69-u,0.17494361102581024
GT69-u|AAC13946|C.neoformans_Fungi,u,GT69-u,0.10438159108161926
GT73-u|AIE00872|K.pneumoniaesubsppneumoniaeKP5-1_Bacteria,u,GT73-u,0.12555497884750366
GT48-u|ABX80511|C.parapsilosis_Fungi,u,GT48-u,0.11509259045124054
GT48-u|AAF34719|C.glabrataATCC90876_Fungi,u,GT48-u,0.10755524784326553
GT73-u|AFN85587|E.coli81009_Bacteria,u,GT73-u,0.11692716181278229
GT42-u|AAG43979|C.jejuniATCC43432_Bacteria,u,GT42-u,0.14271454513072968
GT89-u|ADL11403|C.pseudotuberculosisC231_Bacteria,u,GT89-u,0.1043400689959526
GT48-u|ADO14232|C.glabrataCBS138_Fungi,u,GT48-u,0.10820412635803223
GT89-u|AET21135|M.tuberculosisvariantbovisBCGstrMexico_Bacteria,u,GT89-u,0.10399521887302399
GT53-u|AKP07770|C.pseudotuberculosis262_Bacteria,u,GT53-u,0.086478590965271
GT44-u|QCV10367|E.coliO157H7ECP17-1298_Bacteria,u,GT44-u,0.15029199421405792
GT53-u|AGL33304|M.tuberculosisEAI5NITR206_Bacteria,u,GT53-u,0.09374658763408661
GT26-u|AAU20247|B.cereusE33L_Bacteria,u,GT26-u,0.1303916573524475
GT97-u|ABW93688|N.meningitidisWNTP118-13ST-22_Bacteria,u,GT97-u,0.13086116313934326
GT71-u|AJR81324|S.cerevisiaeYJM451_Fungi,u,GT71-u,0.1055261418223381
GT71-u|AJP83164|S.cerevisiaeYJM1418_Fungi,u,GT71-u,0.09763871878385544
GT76-u|AHY74490|S.cerevisiaeYJM993_Fungi,u,GT76-u,0.08921404182910919
GT71-u|AJT08527|S.cerevisiaeYJM627_Fungi,u,GT71-u,0.10619120299816132
GT71-u|AJR54125|S.cerevisiaeYJM682_Fungi,u,GT71-u,0.0827484279870987
GT44-u|ADH94633|C.difficile55767_Bacteria,u,GT44-u,0.12207763642072678
GT71-u|AJR37278|S.cerevisiaeYJM244_Fungi,u,GT71-u,0.08831171691417694
GT11-u|ACD47556|H.pyloriShi470_Bacteria,u,GT11-u,0.12777073681354523
GT53-u|AIQ10449|M.tuberculosis96121_Bacteria,u,GT53-u,0.08841989934444427
GT71-u|AJU50132|S.cerevisiaeYJM1388_Fungi,u,GT71-u,0.1414259523153305
GT108-u|AEO25161|L.monocytogenesFSLR2-561_Bacteria,u,GT108-u,0.2839058041572571
GT73-u|AMU84195|E.colistrSanji_Bacteria,u,GT73-u,0.15563075244426727
GT53-u|AIH33841|M.tuberculosis0B229DS_Bacteria,u,GT53-u,0.09639730304479599
GT108-u|ABX87508|Y.pestisAngola_Bacteria,u,GT108-u,0.3061832785606384
GT29-u|AFU77570|M.virusAustBendigo7-92_,u,GT29-u,0.10422155261039734
GT44-u|AGT71343|C.trachomatisIa20-97_Bacteria,u,GT44-u,0.09689567983150482
GT26-u|AAU17663|B.cereusE33L_Bacteria,u,GT26-u,0.1549537032842636
GT48-u|QEO75918|C.tropicalis_Fungi,u,GT48-u,0.19547949731349945
GT29-u|AAM22800|H.sapiens_Metazoa,u,GT29-u,0.10241743922233582
GT42-u|AAG29922|C.jejuniMSC57360_Bacteria,u,GT42-u,0.11006619781255722
GT29-u|CAG26711|P.troglodytes_Metazoa,u,GT29-u,0.09601953625679016
GT26-u|AAU25262|B.licheniformisDSM13ATCC14580_Bacteria,u,GT26-u,0.1531280130147934
GT26-u|AME07213|B.spSDLI1_Bacteria,u,GT26-u,0.1151803582906723
GT11-u|AVG83124|H.pylori713_3_Bacteria,u,GT11-u,0.09418168663978577
GT42-u|SNV82358|P.multocidaNCTC10322_Bacteria,u,GT42-u,0.17104656994342804
GT26-u|ANP84068|B.spB252016b_Bacteria,u,GT26-u,0.13975627720355988
GT26-u|ACK94976|B.cereusG9842_Bacteria,u,GT26-u,0.1668848693370819
GT100-u|AUP31583|S.agalactiaeSA341_Bacteria,u,GT100-u,0.07114843279123306
GT89-u|ALR13784|M.saopaulenseEPM10906_Bacteria,u,GT89-u,0.09664107114076614
GT26-u|ADV94380|B.subtilisBSn5_Bacteria,u,GT26-u,0.11655667424201965
GT100-u|AOQ20262|S.agalactiaeWC1535_Bacteria,u,GT100-u,0.13544625043869019
GT29-u|AAH65936|H.sapiens_Metazoa,u,GT29-u,0.10004466772079468
GT53-u|AAC44547|M.avium2151_Bacteria,u,GT53-u,0.08341125398874283
GT89-u|ATO61056|M.aviumsubsphominissuisHP17_Bacteria,u,GT89-u,0.10476814210414886
GT53-u|AAC44548|M.avium2151_Bacteria,u,GT53-u,0.08940540254116058
GT53-u|APT09111|M.aviumsubsphominissuisH87_Bacteria,u,GT53-u,0.0882873684167862
GT26-u|QHK00480|B.subtilisSRCM102754_Bacteria,u,GT26-u,0.1322564333677292
GT42-u|ABQ99866|H.influenzaePittGG_Bacteria,u,GT42-u,0.09860740602016449
GT26-u|AKC67570|B.pumilusW3_Bacteria,u,GT26-u,0.1316550225019455
GT73-u|AVQ93078|C.freundiiB9-C2_Bacteria,u,GT73-u,0.12495511025190353
GT100-u|ARU67633|H.somniUSDA-ARS-USMARC-63255_Bacteria,u,GT100-u,0.1266981065273285
GT53-u|AIK83921|C.glutamicumAR1_Bacteria,u,GT53-u,0.08005654811859131
GT89-u|AGT06584|C.glutamicumMB001_Bacteria,u,GT89-u,0.09074916690587997
GT29-u|CAD45371|H.sapiens_Metazoa,u,GT29-u,0.0990593284368515
GT100-u|ABQ98854|H.influenzaePittEE_Bacteria,u,GT100-u,0.12446489930152893
GT99-u|ABR77902|K.pneumoniaesubsppneumoniaeMGH78578_Bacteria,u,GT99-u,0.12012005597352982
GT26-u|ANU62099|A.muciniphilaYL44_Bacteria,u,GT26-u,0.10590768605470657
GT44-u|ADH94634|C.difficileCH6230_Bacteria,u,GT44-u,0.09508471935987473
GT11-u|ACD04967|A.muciniphilaATCCBAA-835_Bacteria,u,GT11-u,0.11852069944143295
GT44-u|ADH94625|C.difficileCH6223_Bacteria,u,GT44-u,0.1002667024731636
GT11-u|ATG41145|P.piscinaeP14_Bacteria,u,GT11-u,0.11432377994060516
GT73-u|AWT18412|K.michiganensisAACKY_Bacteria,u,GT73-u,0.1435151845216751
GT42-u|QEQ59964|H.influenzaebiotypeaegyptiusHE37F3052_Bacteria,u,GT42-u,0.17097844183444977
GT100-u|AAD28703|H.ducreyi35000_Bacteria,u,GT100-u,0.12302371859550476
GT89-u|ALE39262|L.interrogansserovarHardjostrNorma_Bacteria,u,GT89-u,0.07758058607578278
GT11-u|AYR34836|A.muciniphilaAMDK-2_Bacteria,u,GT11-u,0.11828941106796265
GT102-u|AZR77076|B.thuringiensisC15_Bacteria,u,GT102-u,0.11331292241811752
GT108-u|ACS25873|G.spWCH70_Bacteria,u,GT108-u,0.29082992672920227
GT29-u|AAF17104|C.aethiops_Metazoa,u,GT29-u,0.18336263298988342
GT100-u|ASI50160|E.coliFORC_043_Bacteria,u,GT100-u,0.1264968365430832
GT29-u|ACH33352|H.sapiens_Metazoa,u,GT29-u,0.10425777733325958
GT110-u|AAH02596|H.sapiens_Metazoa,u,GT110-u,0.09248970448970795
GT42-u|ANS24493|C.jejunisubspjejuniRM1285_Bacteria,u,GT42-u,0.09432732313871384
GT53-u|AFE18574|M.tuberculosisRGTB327_Bacteria,u,GT53-u,0.10598570853471756
GT53-u|AEX68800|C.diphtheriaePW8_Bacteria,u,GT53-u,0.08484109491109848
GT53-u|AFC41460|M.intracellulareATCC13950_Bacteria,u,GT53-u,0.09200556576251984
GT89-u|QCO39167|L.interrogansFMAS_KW1_Bacteria,u,GT89-u,0.08696448802947998
GT53-u|AFC51743|M.paraintracellulare_Bacteria,u,GT53-u,0.07744868844747543
GT44-u|AVE48566|S.marcescensAR_0027_Bacteria,u,GT44-u,0.11588898301124573
GT89-u|AMX71271|L.borgpeterseniiserovarHardjoNVSLS818_Bacteria,u,GT89-u,0.08035903424024582
GT89-u|AXX14619|L.borgpeterseniiserovarCeylonicaPiyasena_Bacteria,u,GT89-u,0.08744389563798904
GT26-u|AIY74177|B.cereus03BB87_Bacteria,u,GT26-u,0.16131816804409027
GT53-u|AOS90394|M.chimaeraAH16_Bacteria,u,GT53-u,0.0887933075428009
GT29-u|AAH31476|H.sapiens_Metazoa,u,GT29-u,0.12226895987987518
GT53-u|AGZ51276|M.kansasiiATCC12478_Bacteria,u,GT53-u,0.08583703637123108
GT99-u|AZR62470|K.quasipneumoniaeD120-1_Bacteria,u,GT99-u,0.1436263769865036
GT48-u|AYN77793|C.auris_Fungi,u,GT48-u,0.10588030517101288
GT108-u|ACX79912|G.spY412MC61_Bacteria,u,GT108-u,0.27835288643836975
GT29-u|ACM82503|H.sapiens_Metazoa,u,GT29-u,0.11295564472675323
GT89-u|ASW98754|M.chimaeraFLAC0070_Bacteria,u,GT89-u,0.09632236510515213
GT26-u|AXI31973|B.megateriumSR7_Bacteria,u,GT26-u,0.14401549100875854
GT53-u|AIT88126|C.ulcerans210932_Bacteria,u,GT53-u,0.08013653755187988
GT89-u|AIT90080|C.ulcerans210932_Bacteria,u,GT89-u,0.08530497550964355
GT100-u|APR01827|C.botulinumF634_Bacteria,u,GT100-u,0.13038082420825958
GT29-u|AAB87642|H.sapiens_Metazoa,u,GT29-u,0.08855032920837402
GT42-u|ABQ98860|H.influenzaePittEE_Bacteria,u,GT42-u,0.09078233689069748
GT29-u|AAA42146|R.norvegicus_Metazoa,u,GT29-u,0.09743405133485794
GT29-u|AFJ70779|M.mulatta_Metazoa,u,GT29-u,0.10268703103065491
