Name,Fold,Family,Err
GT69-u|AAY89392|C.gattiiVGIR265_Fungi,u,GT69-u,2.1174581050872803
GT69-u|AAC13946|C.neoformans_Fungi,u,GT69-u,1.011527419090271
GT73-u|AIE00872|K.pneumoniaesubsppneumoniaeKP5-1_Bacteria,u,GT73-u,1.2927383184432983
GT48-u|ABX80511|C.parapsilosis_Fungi,u,GT48-u,0.5847062468528748
GT48-u|AAF34719|C.glabrataATCC90876_Fungi,u,GT48-u,0.5999459028244019
GT73-u|AFN85587|E.coli81009_Bacteria,u,GT73-u,1.388445258140564
GT42-u|AAG43979|C.jejuniATCC43432_Bacteria,u,GT42-u,1.2061126232147217
GT89-u|ADL11403|C.pseudotuberculosisC231_Bacteria,u,GT89-u,0.46101492643356323
GT48-u|ADO14232|C.glabrataCBS138_Fungi,u,GT48-u,0.5859861969947815
GT89-u|AET21135|M.tuberculosisvariantbovisBCGstrMexico_Bacteria,u,GT89-u,0.4204534590244293
GT53-u|AKP07770|C.pseudotuberculosis262_Bacteria,u,GT53-u,0.49027249217033386
GT44-u|QCV10367|E.coliO157H7ECP17-1298_Bacteria,u,GT44-u,1.2102534770965576
GT53-u|AGL33304|M.tuberculosisEAI5NITR206_Bacteria,u,GT53-u,0.4781896770000458
GT26-u|AAU20247|B.cereusE33L_Bacteria,u,GT26-u,1.4739896059036255
GT97-u|ABW93688|N.meningitidisWNTP118-13ST-22_Bacteria,u,GT97-u,1.375090479850769
GT71-u|AJR81324|S.cerevisiaeYJM451_Fungi,u,GT71-u,0.7706543207168579
GT71-u|AJP83164|S.cerevisiaeYJM1418_Fungi,u,GT71-u,0.7084978818893433
GT76-u|AHY74490|S.cerevisiaeYJM993_Fungi,u,GT76-u,0.6597511768341064
GT71-u|AJT08527|S.cerevisiaeYJM627_Fungi,u,GT71-u,0.7108716368675232
GT71-u|AJR54125|S.cerevisiaeYJM682_Fungi,u,GT71-u,0.7084084153175354
GT44-u|ADH94633|C.difficile55767_Bacteria,u,GT44-u,0.8303908705711365
GT71-u|AJR37278|S.cerevisiaeYJM244_Fungi,u,GT71-u,0.660685122013092
GT11-u|ACD47556|H.pyloriShi470_Bacteria,u,GT11-u,1.3097248077392578
GT53-u|AIQ10449|M.tuberculosis96121_Bacteria,u,GT53-u,0.6382969617843628
GT71-u|AJU50132|S.cerevisiaeYJM1388_Fungi,u,GT71-u,0.6626357436180115
GT108-u|AEO25161|L.monocytogenesFSLR2-561_Bacteria,u,GT108-u,2.1473565101623535
GT73-u|AMU84195|E.colistrSanji_Bacteria,u,GT73-u,1.3613524436950684
GT53-u|AIH33841|M.tuberculosis0B229DS_Bacteria,u,GT53-u,0.5305191874504089
GT108-u|ABX87508|Y.pestisAngola_Bacteria,u,GT108-u,2.250880002975464
GT29-u|AFU77570|M.virusAustBendigo7-92_,u,GT29-u,1.4000580310821533
GT44-u|AGT71343|C.trachomatisIa20-97_Bacteria,u,GT44-u,0.5518772006034851
GT26-u|AAU17663|B.cereusE33L_Bacteria,u,GT26-u,1.3852496147155762
GT48-u|QEO75918|C.tropicalis_Fungi,u,GT48-u,1.50699782371521
GT29-u|AAM22800|H.sapiens_Metazoa,u,GT29-u,0.7402040362358093
GT42-u|AAG29922|C.jejuniMSC57360_Bacteria,u,GT42-u,1.296380877494812
GT29-u|CAG26711|P.troglodytes_Metazoa,u,GT29-u,1.275619626045227
GT26-u|AAU25262|B.licheniformisDSM13ATCC14580_Bacteria,u,GT26-u,1.4836878776550293
GT26-u|AME07213|B.spSDLI1_Bacteria,u,GT26-u,1.4561574459075928
GT11-u|AVG83124|H.pylori713_3_Bacteria,u,GT11-u,1.3600267171859741
GT42-u|SNV82358|P.multocidaNCTC10322_Bacteria,u,GT42-u,1.9386134147644043
GT26-u|ANP84068|B.spB252016b_Bacteria,u,GT26-u,1.471912145614624
GT26-u|ACK94976|B.cereusG9842_Bacteria,u,GT26-u,1.4011837244033813
GT100-u|AUP31583|S.agalactiaeSA341_Bacteria,u,GT100-u,1.2831908464431763
GT89-u|ALR13784|M.saopaulenseEPM10906_Bacteria,u,GT89-u,0.477245032787323
GT26-u|ADV94380|B.subtilisBSn5_Bacteria,u,GT26-u,1.4258419275283813
GT100-u|AOQ20262|S.agalactiaeWC1535_Bacteria,u,GT100-u,1.2368937730789185
GT29-u|AAH65936|H.sapiens_Metazoa,u,GT29-u,0.9416545033454895
