Name,Fold,Family,Err
GT69-u|AAY89392|C.gattiiVGIR265_Fungi,u,GT69-u,0.4485556185245514
GT69-u|AAC13946|C.neoformans_Fungi,u,GT69-u,0.2094254195690155
GT73-u|AIE00872|K.pneumoniaesubsppneumoniaeKP5-1_Bacteria,u,GT73-u,0.34318089485168457
GT48-u|ABX80511|C.parapsilosis_Fungi,u,GT48-u,0.3235684633255005
GT48-u|AAF34719|C.glabrataATCC90876_Fungi,u,GT48-u,0.3312399685382843
GT73-u|AFN85587|E.coli81009_Bacteria,u,GT73-u,0.2728913426399231
GT42-u|AAG43979|C.jejuniATCC43432_Bacteria,u,GT42-u,0.4667610228061676
GT89-u|ADL11403|C.pseudotuberculosisC231_Bacteria,u,GT89-u,0.4179112911224365
GT48-u|ADO14232|C.glabrataCBS138_Fungi,u,GT48-u,0.35312557220458984
GT89-u|AET21135|M.tuberculosisvariantbovisBCGstrMexico_Bacteria,u,GT89-u,0.38842734694480896
GT53-u|AKP07770|C.pseudotuberculosis262_Bacteria,u,GT53-u,0.8041702508926392
GT44-u|QCV10367|E.coliO157H7ECP17-1298_Bacteria,u,GT44-u,0.7184559106826782
GT53-u|AGL33304|M.tuberculosisEAI5NITR206_Bacteria,u,GT53-u,0.7282442450523376
GT26-u|AAU20247|B.cereusE33L_Bacteria,u,GT26-u,0.5143214464187622
GT97-u|ABW93688|N.meningitidisWNTP118-13ST-22_Bacteria,u,GT97-u,0.34018439054489136
GT71-u|AJR81324|S.cerevisiaeYJM451_Fungi,u,GT71-u,0.25100013613700867
GT71-u|AJP83164|S.cerevisiaeYJM1418_Fungi,u,GT71-u,0.21309934556484222
GT76-u|AHY74490|S.cerevisiaeYJM993_Fungi,u,GT76-u,0.9146735072135925
GT71-u|AJT08527|S.cerevisiaeYJM627_Fungi,u,GT71-u,0.21818678081035614
GT71-u|AJR54125|S.cerevisiaeYJM682_Fungi,u,GT71-u,0.18802781403064728
GT44-u|ADH94633|C.difficile55767_Bacteria,u,GT44-u,0.4570942223072052
GT71-u|AJR37278|S.cerevisiaeYJM244_Fungi,u,GT71-u,0.19358116388320923
GT11-u|ACD47556|H.pyloriShi470_Bacteria,u,GT11-u,0.44722509384155273
GT53-u|AIQ10449|M.tuberculosis96121_Bacteria,u,GT53-u,0.8558633923530579
GT71-u|AJU50132|S.cerevisiaeYJM1388_Fungi,u,GT71-u,0.30473223328590393
GT108-u|AEO25161|L.monocytogenesFSLR2-561_Bacteria,u,GT108-u,0.6478380560874939
GT73-u|AMU84195|E.colistrSanji_Bacteria,u,GT73-u,0.35281530022621155
GT53-u|AIH33841|M.tuberculosis0B229DS_Bacteria,u,GT53-u,0.8033393621444702
GT108-u|ABX87508|Y.pestisAngola_Bacteria,u,GT108-u,0.7011462450027466
GT29-u|AFU77570|M.virusAustBendigo7-92_,u,GT29-u,0.2850761413574219
GT44-u|AGT71343|C.trachomatisIa20-97_Bacteria,u,GT44-u,0.2303314507007599
GT26-u|AAU17663|B.cereusE33L_Bacteria,u,GT26-u,0.5560200214385986
GT48-u|QEO75918|C.tropicalis_Fungi,u,GT48-u,1.285808801651001
GT29-u|AAM22800|H.sapiens_Metazoa,u,GT29-u,0.17725004255771637
GT42-u|AAG29922|C.jejuniMSC57360_Bacteria,u,GT42-u,0.29416021704673767
GT29-u|CAG26711|P.troglodytes_Metazoa,u,GT29-u,0.25111037492752075
GT26-u|AAU25262|B.licheniformisDSM13ATCC14580_Bacteria,u,GT26-u,0.5249290466308594
GT26-u|AME07213|B.spSDLI1_Bacteria,u,GT26-u,0.44033366441726685
GT11-u|AVG83124|H.pylori713_3_Bacteria,u,GT11-u,0.360027939081192
GT42-u|SNV82358|P.multocidaNCTC10322_Bacteria,u,GT42-u,0.5604231357574463
GT26-u|ANP84068|B.spB252016b_Bacteria,u,GT26-u,0.5121050477027893
GT26-u|ACK94976|B.cereusG9842_Bacteria,u,GT26-u,0.5630748867988586
GT100-u|AUP31583|S.agalactiaeSA341_Bacteria,u,GT100-u,0.3058454990386963
GT89-u|ALR13784|M.saopaulenseEPM10906_Bacteria,u,GT89-u,0.35795435309410095
GT26-u|ADV94380|B.subtilisBSn5_Bacteria,u,GT26-u,0.46922874450683594
GT100-u|AOQ20262|S.agalactiaeWC1535_Bacteria,u,GT100-u,0.3949064612388611
GT29-u|AAH65936|H.sapiens_Metazoa,u,GT29-u,0.19022151827812195
GT53-u|AAC44547|M.avium2151_Bacteria,u,GT53-u,0.7364926934242249
GT89-u|ATO61056|M.aviumsubsphominissuisHP17_Bacteria,u,GT89-u,0.3790118396282196
GT53-u|AAC44548|M.avium2151_Bacteria,u,GT53-u,0.7495921850204468
GT53-u|APT09111|M.aviumsubsphominissuisH87_Bacteria,u,GT53-u,0.875273585319519
GT26-u|QHK00480|B.subtilisSRCM102754_Bacteria,u,GT26-u,0.4648553133010864
GT42-u|ABQ99866|H.influenzaePittGG_Bacteria,u,GT42-u,0.24937932193279266
GT26-u|AKC67570|B.pumilusW3_Bacteria,u,GT26-u,0.4558684527873993
GT73-u|AVQ93078|C.freundiiB9-C2_Bacteria,u,GT73-u,0.29127487540245056
GT100-u|ARU67633|H.somniUSDA-ARS-USMARC-63255_Bacteria,u,GT100-u,0.3242199420928955
GT53-u|AIK83921|C.glutamicumAR1_Bacteria,u,GT53-u,0.776886522769928
GT89-u|AGT06584|C.glutamicumMB001_Bacteria,u,GT89-u,0.307696670293808
GT29-u|CAD45371|H.sapiens_Metazoa,u,GT29-u,0.22750166058540344
GT100-u|ABQ98854|H.influenzaePittEE_Bacteria,u,GT100-u,0.38047587871551514
GT99-u|ABR77902|K.pneumoniaesubsppneumoniaeMGH78578_Bacteria,u,GT99-u,0.33354076743125916
GT26-u|ANU62099|A.muciniphilaYL44_Bacteria,u,GT26-u,0.4006184935569763
GT44-u|ADH94634|C.difficileCH6230_Bacteria,u,GT44-u,0.3962823152542114
GT11-u|ACD04967|A.muciniphilaATCCBAA-835_Bacteria,u,GT11-u,0.31779947876930237
GT44-u|ADH94625|C.difficileCH6223_Bacteria,u,GT44-u,0.3715004622936249
GT11-u|ATG41145|P.piscinaeP14_Bacteria,u,GT11-u,0.3235839009284973
GT73-u|AWT18412|K.michiganensisAACKY_Bacteria,u,GT73-u,0.38647690415382385
GT42-u|QEQ59964|H.influenzaebiotypeaegyptiusHE37F3052_Bacteria,u,GT42-u,0.4293457269668579
GT100-u|AAD28703|H.ducreyi35000_Bacteria,u,GT100-u,0.3888718783855438
GT89-u|ALE39262|L.interrogansserovarHardjostrNorma_Bacteria,u,GT89-u,0.37930646538734436
GT11-u|AYR34836|A.muciniphilaAMDK-2_Bacteria,u,GT11-u,0.3541294038295746
GT102-u|AZR77076|B.thuringiensisC15_Bacteria,u,GT102-u,0.3422754108905792
GT108-u|ACS25873|G.spWCH70_Bacteria,u,GT108-u,0.6489834189414978
GT29-u|AAF17104|C.aethiops_Metazoa,u,GT29-u,0.4308083951473236
GT100-u|ASI50160|E.coliFORC_043_Bacteria,u,GT100-u,0.36565372347831726
GT29-u|ACH33352|H.sapiens_Metazoa,u,GT29-u,0.27831000089645386
GT110-u|AAH02596|H.sapiens_Metazoa,u,GT110-u,0.13774794340133667
GT42-u|ANS24493|C.jejunisubspjejuniRM1285_Bacteria,u,GT42-u,0.26481735706329346
GT53-u|AFE18574|M.tuberculosisRGTB327_Bacteria,u,GT53-u,0.803606390953064
GT53-u|AEX68800|C.diphtheriaePW8_Bacteria,u,GT53-u,0.8356093764305115
GT53-u|AFC41460|M.intracellulareATCC13950_Bacteria,u,GT53-u,0.862865149974823
GT89-u|QCO39167|L.interrogansFMAS_KW1_Bacteria,u,GT89-u,0.4414307475090027
GT53-u|AFC51743|M.paraintracellulare_Bacteria,u,GT53-u,0.7511645555496216
GT44-u|AVE48566|S.marcescensAR_0027_Bacteria,u,GT44-u,0.39551886916160583
GT89-u|AMX71271|L.borgpeterseniiserovarHardjoNVSLS818_Bacteria,u,GT89-u,0.40493127703666687
GT89-u|AXX14619|L.borgpeterseniiserovarCeylonicaPiyasena_Bacteria,u,GT89-u,0.4936366379261017
GT26-u|AIY74177|B.cereus03BB87_Bacteria,u,GT26-u,0.5580508708953857
GT53-u|AOS90394|M.chimaeraAH16_Bacteria,u,GT53-u,0.7384191155433655
GT29-u|AAH31476|H.sapiens_Metazoa,u,GT29-u,0.22901593148708344
GT53-u|AGZ51276|M.kansasiiATCC12478_Bacteria,u,GT53-u,0.8111940622329712
GT99-u|AZR62470|K.quasipneumoniaeD120-1_Bacteria,u,GT99-u,0.4429289698600769
GT48-u|AYN77793|C.auris_Fungi,u,GT48-u,0.3166671395301819
GT108-u|ACX79912|G.spY412MC61_Bacteria,u,GT108-u,0.6790561079978943
GT29-u|ACM82503|H.sapiens_Metazoa,u,GT29-u,0.2415017932653427
GT89-u|ASW98754|M.chimaeraFLAC0070_Bacteria,u,GT89-u,0.37245476245880127
GT26-u|AXI31973|B.megateriumSR7_Bacteria,u,GT26-u,0.5637599229812622
GT53-u|AIT88126|C.ulcerans210932_Bacteria,u,GT53-u,0.7534852027893066
GT89-u|AIT90080|C.ulcerans210932_Bacteria,u,GT89-u,0.4026052951812744
GT100-u|APR01827|C.botulinumF634_Bacteria,u,GT100-u,0.36961284279823303
GT29-u|AAB87642|H.sapiens_Metazoa,u,GT29-u,0.2173071801662445
GT42-u|ABQ98860|H.influenzaePittEE_Bacteria,u,GT42-u,0.30131107568740845
GT29-u|AAA42146|R.norvegicus_Metazoa,u,GT29-u,0.28960588574409485
GT29-u|AFJ70779|M.mulatta_Metazoa,u,GT29-u,0.21356388926506042
GT29-u|AAI05253|B.taurus_Metazoa,u,GT29-u,0.177873432636261
GT29-u|BAE26116|M.musculusICR_Metazoa,u,GT29-u,0.17190010845661163
GT29-u|ALQ34076|H.sapiens_Metazoa,u,GT29-u,0.21914365887641907
GT76-u|ADZ73732|T.aduncus_Metazoa,u,GT76-u,2.8503546714782715
GT73-u|QCW32289|E.coliKR2009_Bacteria,u,GT73-u,0.25472572445869446
GT48-u|QFZ26577|C.lusitaniaeP1_Fungi,u,GT48-u,0.32710984349250793
GT42-u|ABR14150|H.influenzaeDH1_Bacteria,u,GT42-u,0.27243006229400635
GT29-u|BAG52854|H.sapiens_Metazoa,u,GT29-u,0.3729640245437622
GT11-u|AHE61805|E.albertiiKF1_Bacteria,u,GT11-u,0.36102765798568726
GT106-u|ABR17811|P.sitchensis_Streptophyta,u,GT106-u,0.20319513976573944
GT42-u|AOH52165|C.jejunisubspjejuni14980A_Bacteria,u,GT42-u,0.43448662757873535
GT26-u|AWJ92206|A.brasilenseSp245_Bacteria,u,GT26-u,0.5054669380187988
GT29-u|AAC17874|H.sapiens_Metazoa,u,GT29-u,0.2115250527858734
GT29-u|AFE66355|M.mulatta_Metazoa,u,GT29-u,0.2702038884162903
GT102-u|AXO92998|B.anthracisMCCC1A01412_Bacteria,u,GT102-u,0.3448600769042969
GT11-u|AUQ60107|P.inhibensP30_Bacteria,u,GT11-u,0.2986818253993988
GT29-u|BAG58078|H.sapiens_Metazoa,u,GT29-u,0.40568646788597107
GT26-u|ABS24118|B.cytotoxicusNVH391-98_Bacteria,u,GT26-u,0.5084701776504517
GT29-u|BAA87036|M.musculus_Metazoa,u,GT29-u,0.24372510612010956
GT11-u|ADN79234|H.pylori908_Bacteria,u,GT11-u,0.3205660581588745
GT89-u|AZI59854|R.spNJ-530_Bacteria,u,GT89-u,0.4023364186286926
