Name,Fold,Family,Err
GT69-u|AAY89392|C.gattiiVGIR265_Fungi,u,GT69-u,0.17494361102581024
GT69-u|AAC13946|C.neoformans_Fungi,u,GT69-u,0.10438159108161926
GT73-u|AIE00872|K.pneumoniaesubsppneumoniaeKP5-1_Bacteria,u,GT73-u,0.12555499374866486
GT48-u|ABX80511|C.parapsilosis_Fungi,u,GT48-u,0.11509258300065994
GT48-u|AAF34719|C.glabrataATCC90876_Fungi,u,GT48-u,0.10755522549152374
GT73-u|AFN85587|E.coli81009_Bacteria,u,GT73-u,0.11692705005407333
GT42-u|AAG43979|C.jejuniATCC43432_Bacteria,u,GT42-u,0.14271457493305206
GT89-u|ADL11403|C.pseudotuberculosisC231_Bacteria,u,GT89-u,0.10434004664421082
GT48-u|ADO14232|C.glabrataCBS138_Fungi,u,GT48-u,0.10820415616035461
GT89-u|AET21135|M.tuberculosisvariantbovisBCGstrMexico_Bacteria,u,GT89-u,0.10399525612592697
GT53-u|AKP07770|C.pseudotuberculosis262_Bacteria,u,GT53-u,0.086478590965271
GT44-u|QCV10367|E.coliO157H7ECP17-1298_Bacteria,u,GT44-u,0.15029184520244598
GT53-u|AGL33304|M.tuberculosisEAI5NITR206_Bacteria,u,GT53-u,0.09374654293060303
GT26-u|AAU20247|B.cereusE33L_Bacteria,u,GT26-u,0.1303916722536087
GT97-u|ABW93688|N.meningitidisWNTP118-13ST-22_Bacteria,u,GT97-u,0.13086122274398804
GT71-u|AJR81324|S.cerevisiaeYJM451_Fungi,u,GT71-u,0.10552608966827393
GT71-u|AJP83164|S.cerevisiaeYJM1418_Fungi,u,GT71-u,0.09763875603675842
GT76-u|AHY74490|S.cerevisiaeYJM993_Fungi,u,GT76-u,0.08921407908201218
GT71-u|AJT08527|S.cerevisiaeYJM627_Fungi,u,GT71-u,0.10619121789932251
GT71-u|AJR54125|S.cerevisiaeYJM682_Fungi,u,GT71-u,0.0827484130859375
GT44-u|ADH94633|C.difficile55767_Bacteria,u,GT44-u,0.12207760661840439
GT71-u|AJR37278|S.cerevisiaeYJM244_Fungi,u,GT71-u,0.08831170946359634
GT11-u|ACD47556|H.pyloriShi470_Bacteria,u,GT11-u,0.1277708113193512
GT53-u|AIQ10449|M.tuberculosis96121_Bacteria,u,GT53-u,0.08841988444328308
GT71-u|AJU50132|S.cerevisiaeYJM1388_Fungi,u,GT71-u,0.1414259821176529
GT108-u|AEO25161|L.monocytogenesFSLR2-561_Bacteria,u,GT108-u,0.28390565514564514
GT73-u|AMU84195|E.colistrSanji_Bacteria,u,GT73-u,0.15563076734542847
GT53-u|AIH33841|M.tuberculosis0B229DS_Bacteria,u,GT53-u,0.09639725834131241
GT108-u|ABX87508|Y.pestisAngola_Bacteria,u,GT108-u,0.3061831593513489
GT29-u|AFU77570|M.virusAustBendigo7-92_,u,GT29-u,0.10422149300575256
GT44-u|AGT71343|C.trachomatisIa20-97_Bacteria,u,GT44-u,0.09689566493034363
GT26-u|AAU17663|B.cereusE33L_Bacteria,u,GT26-u,0.15495367348194122
GT48-u|QEO75918|C.tropicalis_Fungi,u,GT48-u,0.19547943770885468
GT29-u|AAM22800|H.sapiens_Metazoa,u,GT29-u,0.10241742432117462
GT42-u|AAG29922|C.jejuniMSC57360_Bacteria,u,GT42-u,0.11006628721952438
GT29-u|CAG26711|P.troglodytes_Metazoa,u,GT29-u,0.09601952880620956
GT26-u|AAU25262|B.licheniformisDSM13ATCC14580_Bacteria,u,GT26-u,0.153127983212471
GT26-u|AME07213|B.spSDLI1_Bacteria,u,GT26-u,0.11518026888370514
GT11-u|AVG83124|H.pylori713_3_Bacteria,u,GT11-u,0.0941816195845604
GT42-u|SNV82358|P.multocidaNCTC10322_Bacteria,u,GT42-u,0.17104656994342804
GT26-u|ANP84068|B.spB252016b_Bacteria,u,GT26-u,0.13975627720355988
GT26-u|ACK94976|B.cereusG9842_Bacteria,u,GT26-u,0.16688482463359833
GT100-u|AUP31583|S.agalactiaeSA341_Bacteria,u,GT100-u,0.07114849984645844
GT89-u|ALR13784|M.saopaulenseEPM10906_Bacteria,u,GT89-u,0.09664104133844376
GT26-u|ADV94380|B.subtilisBSn5_Bacteria,u,GT26-u,0.11655658483505249
GT100-u|AOQ20262|S.agalactiaeWC1535_Bacteria,u,GT100-u,0.13544628024101257
GT29-u|AAH65936|H.sapiens_Metazoa,u,GT29-u,0.10004466772079468
GT53-u|AAC44547|M.avium2151_Bacteria,u,GT53-u,0.08341126143932343
GT89-u|ATO61056|M.aviumsubsphominissuisHP17_Bacteria,u,GT89-u,0.10476811975240707
GT53-u|AAC44548|M.avium2151_Bacteria,u,GT53-u,0.08940539509057999
GT53-u|APT09111|M.aviumsubsphominissuisH87_Bacteria,u,GT53-u,0.0882873684167862
GT26-u|QHK00480|B.subtilisSRCM102754_Bacteria,u,GT26-u,0.13225634396076202
GT42-u|ABQ99866|H.influenzaePittGG_Bacteria,u,GT42-u,0.0986073836684227
GT26-u|AKC67570|B.pumilusW3_Bacteria,u,GT26-u,0.13165506720542908
GT73-u|AVQ93078|C.freundiiB9-C2_Bacteria,u,GT73-u,0.12495512515306473
GT100-u|ARU67633|H.somniUSDA-ARS-USMARC-63255_Bacteria,u,GT100-u,0.12669813632965088
GT53-u|AIK83921|C.glutamicumAR1_Bacteria,u,GT53-u,0.08005654811859131
GT89-u|AGT06584|C.glutamicumMB001_Bacteria,u,GT89-u,0.09074918180704117
GT29-u|CAD45371|H.sapiens_Metazoa,u,GT29-u,0.0990593433380127
GT100-u|ABQ98854|H.influenzaePittEE_Bacteria,u,GT100-u,0.12446495145559311
GT99-u|ABR77902|K.pneumoniaesubsppneumoniaeMGH78578_Bacteria,u,GT99-u,0.12012007087469101
GT26-u|ANU62099|A.muciniphilaYL44_Bacteria,u,GT26-u,0.10590774565935135
GT44-u|ADH94634|C.difficileCH6230_Bacteria,u,GT44-u,0.09508465975522995
GT11-u|ACD04967|A.muciniphilaATCCBAA-835_Bacteria,u,GT11-u,0.11852069199085236
GT44-u|ADH94625|C.difficileCH6223_Bacteria,u,GT44-u,0.10026665776968002
GT11-u|ATG41145|P.piscinaeP14_Bacteria,u,GT11-u,0.11432388424873352
GT73-u|AWT18412|K.michiganensisAACKY_Bacteria,u,GT73-u,0.1435152292251587
GT42-u|QEQ59964|H.influenzaebiotypeaegyptiusHE37F3052_Bacteria,u,GT42-u,0.17097832262516022
GT100-u|AAD28703|H.ducreyi35000_Bacteria,u,GT100-u,0.12302367389202118
GT89-u|ALE39262|L.interrogansserovarHardjostrNorma_Bacteria,u,GT89-u,0.07758063822984695
GT11-u|AYR34836|A.muciniphilaAMDK-2_Bacteria,u,GT11-u,0.1182892844080925
GT102-u|AZR77076|B.thuringiensisC15_Bacteria,u,GT102-u,0.11331290006637573
GT108-u|ACS25873|G.spWCH70_Bacteria,u,GT108-u,0.2908298969268799
GT29-u|AAF17104|C.aethiops_Metazoa,u,GT29-u,0.18336263298988342
GT100-u|ASI50160|E.coliFORC_043_Bacteria,u,GT100-u,0.12649691104888916
GT29-u|ACH33352|H.sapiens_Metazoa,u,GT29-u,0.10425776243209839
GT110-u|AAH02596|H.sapiens_Metazoa,u,GT110-u,0.09248970448970795
GT42-u|ANS24493|C.jejunisubspjejuniRM1285_Bacteria,u,GT42-u,0.09432732313871384
GT53-u|AFE18574|M.tuberculosisRGTB327_Bacteria,u,GT53-u,0.10598576068878174
GT53-u|AEX68800|C.diphtheriaePW8_Bacteria,u,GT53-u,0.08484109491109848
GT53-u|AFC41460|M.intracellulareATCC13950_Bacteria,u,GT53-u,0.09200561791658401
GT89-u|QCO39167|L.interrogansFMAS_KW1_Bacteria,u,GT89-u,0.08696451783180237
GT53-u|AFC51743|M.paraintracellulare_Bacteria,u,GT53-u,0.07744868844747543
GT44-u|AVE48566|S.marcescensAR_0027_Bacteria,u,GT44-u,0.1158890426158905
GT89-u|AMX71271|L.borgpeterseniiserovarHardjoNVSLS818_Bacteria,u,GT89-u,0.08035908639431
GT89-u|AXX14619|L.borgpeterseniiserovarCeylonicaPiyasena_Bacteria,u,GT89-u,0.08744393289089203
GT26-u|AIY74177|B.cereus03BB87_Bacteria,u,GT26-u,0.16131821274757385
GT53-u|AOS90394|M.chimaeraAH16_Bacteria,u,GT53-u,0.08879333734512329
GT29-u|AAH31476|H.sapiens_Metazoa,u,GT29-u,0.12226899713277817
GT53-u|AGZ51276|M.kansasiiATCC12478_Bacteria,u,GT53-u,0.08583704382181168
GT99-u|AZR62470|K.quasipneumoniaeD120-1_Bacteria,u,GT99-u,0.1436263918876648
GT48-u|AYN77793|C.auris_Fungi,u,GT48-u,0.10588032752275467
GT108-u|ACX79912|G.spY412MC61_Bacteria,u,GT108-u,0.278352826833725
GT29-u|ACM82503|H.sapiens_Metazoa,u,GT29-u,0.11295574903488159
GT89-u|ASW98754|M.chimaeraFLAC0070_Bacteria,u,GT89-u,0.09632241725921631
GT26-u|AXI31973|B.megateriumSR7_Bacteria,u,GT26-u,0.14401550590991974
GT53-u|AIT88126|C.ulcerans210932_Bacteria,u,GT53-u,0.0801364928483963
GT89-u|AIT90080|C.ulcerans210932_Bacteria,u,GT89-u,0.08530498296022415
GT100-u|APR01827|C.botulinumF634_Bacteria,u,GT100-u,0.13038082420825958
GT29-u|AAB87642|H.sapiens_Metazoa,u,GT29-u,0.08855031430721283
GT42-u|ABQ98860|H.influenzaePittEE_Bacteria,u,GT42-u,0.09078239649534225
GT29-u|AAA42146|R.norvegicus_Metazoa,u,GT29-u,0.09743408113718033
GT29-u|AFJ70779|M.mulatta_Metazoa,u,GT29-u,0.10268707573413849
